,Start,End,Sleep quality,Time in bed,Activity (steps),Stressful day Total,Drank coffee Total,Drank tea Total,Ate late Total,Worked out Total
225,2015-12-03 22:51:00,2015-12-04 05:01:00,0.7,365.4,0,0,1,1,1,0
226,2015-12-06 22:10:00,2015-12-07 05:31:00,0.86,432.0,0,0,1,1,0,0
227,2015-12-07 21:20:00,2015-12-08 05:00:00,0.86,444.0,0,1,0,1,0,1
228,2015-12-08 22:17:00,2015-12-09 05:45:00,0.79,436.8,0,1,1,1,0,1
229,2015-12-09 21:57:00,2015-12-10 06:10:00,0.93,487.80000000000007,0,1,0,1,0,1
230,2015-12-13 00:08:00,2015-12-13 08:23:00,0.77,488.40000000000003,0,0,1,0,0,0
231,2015-12-13 22:07:00,2015-12-14 06:09:00,0.8,481.2,0,0,1,0,0,0
232,2015-12-15 22:32:00,2015-12-16 06:10:00,0.75,442.2,0,0,1,1,0,1
233,2015-12-16 22:20:00,2015-12-17 05:40:00,0.84,432.0,0,1,1,1,0,0
234,2015-12-17 21:07:00,2015-12-18 05:45:00,1.0,502.19999999999993,0,0,1,1,0,1
235,2015-12-20 22:19:00,2015-12-21 06:20:00,0.72,480.0,0,0,1,1,0,1
236,2015-12-21 22:06:00,2015-12-22 05:29:00,0.8,433.8,0,0,1,0,0,1
237,2015-12-22 21:41:00,2015-12-23 05:43:00,0.82,480.59999999999997,0,0,1,1,0,1
238,2015-12-23 22:33:00,2015-12-24 06:01:00,0.79,436.2,0,0,1,1,0,0
239,2015-12-29 22:44:00,2015-12-30 07:00:00,0.76,489.6,0,0,1,0,0,0
240,2016-01-01 23:53:00,2016-01-02 08:27:00,0.79,499.8,0,0,1,1,0,0
241,2016-01-02 23:49:00,2016-01-03 08:13:00,0.85,494.40000000000003,0,0,1,1,0,0
242,2016-01-03 21:44:00,2016-01-04 05:35:00,0.69,450.59999999999997,0,0,1,0,0,0
243,2016-01-04 22:17:00,2016-01-05 05:45:00,0.74,436.8,0,1,1,1,0,0
